algoritmo,variante,tamano,hilos,tiempo_s,speedup_total,eficiencia_total,speedup_paralelo,eficiencia_paralela
blur,seq,7680x4320,1,0.35,1.0000,1.0000,,
blur,filas,7680x4320,1,0.337,1.03857566765579,1.03857566765579,1,1
blur,filas,7680x4320,2,0.184,1.90217391304348,0.951086956521739,1.83152173913044,0.915760869565218
blur,filas,7680x4320,4,0.098,3.57142857142857,0.892857142857143,3.43877551020408,0.85969387755102
blur,collapse,7680x4320,1,0.389,0.89974293059126,0.89974293059126,1,1
blur,collapse,7680x4320,2,0.212,1.65094339622642,0.825471698113208,1.83490566037736,0.917452830188679
blur,collapse,7680x4320,4,0.135,2.59259259259259,0.648148148148148,2.88148148148148,0.72037037037037
blur,dynamic,7680x4320,1,0.595,0.588235294117647,0.588235294117647,1,1
blur,dynamic,7680x4320,2,0.279,1.25448028673835,0.627240143369176,2.1326164874552,1.0663082437276
blur,dynamic,7680x4320,4,0.099,3.53535353535354,0.883838383838384,6.01010101010101,1.50252525252525
